symboling,normalized-losses,make,num-of-doors,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,price-bin,fuel-type_diesel,fuel-type_gas,aspiration_std,aspiration_turbo,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_fwd,drive-wheels_rwd,engine-location_front,engine-location_rear,engine-type_dohc,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,num-of-cylinders_eight,num-of-cylinders_five,num-of-cylinders_four,num-of-cylinders_six,num-of-cylinders_three,num-of-cylinders_twelve,fuel-system_1bbl,fuel-system_2bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi
1.7822151188573636,0.9188163050934609,0,2,-1.678014918622113,-0.4428724289793933,-0.8390804491182449,-2.117091507511344,-0.025646043936353616,0.045098035093311555,0.511696500898899,-1.8034951292151435,-0.28752473721971894,0.19805357029446488,-0.21280591191430107,-0.6772919807504216,-0.5556131438227186,0.025957713158758323,Thấp,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.7822151188573636,0.9188163050934609,0,2,-1.678014918622113,-0.4428724289793933,-0.8390804491182449,-2.117091507511344,-0.025646043936353616,0.045098035093311555,0.511696500898899,-1.8034951292151435,-0.28752473721971894,0.19805357029446488,-0.21280591191430107,-0.6772919807504216,-0.5556131438227186,0.3974460564559638,Thấp,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.1635444462010287,0.9188163050934609,0,2,-0.7190409724063047,-0.25054305610928895,-0.18420021413341012,-0.6138159025865818,0.49647278303792997,0.5740655958839218,-2.388614483935852,0.7010945633928644,-0.28752473721971894,1.330821716313599,-0.21280591191430107,-0.990387435324868,-0.7023071749551192,0.3974460564559638,Thấp,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0.9728797825291962,1.002740368928311,1,4,0.14241019961806423,0.18219803284845032,0.14323990335900724,0.17957955556815278,-0.42625358026934934,-0.4598255456613618,-0.516261822840001,0.47916889442759697,-0.036109938907804395,-0.03903743701186552,0.8539873607989514,-0.20764879888875215,-0.11553105042551734,0.08220636414053153,Thấp,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.9728797825291962,1.002740368928311,1,4,0.07739501682377357,0.18219803284845032,0.236794222642556,0.17957955556815278,0.4983713969542001,0.1893619153089325,-0.516261822840001,0.47916889442759697,-0.5389395355316335,0.3034273513195006,0.8539873607989514,-1.1469351626120912,-1.289083299484721,0.5148882947695562,Thấp,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.9728797825291962,0.9188163050934609,1,2,0.14241019961806423,0.23829409993556597,0.1900170630007783,-0.3215123127400992,-0.10348921450342861,0.1893619153089325,-0.516261822840001,0.47916889442759697,-0.41323213637567624,0.17171012503820593,0.8539873607989514,-0.990387435324868,-0.8490012060875196,0.2429167955170264,Thấp,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.1635444462010287,0.834892241258611,1,4,1.1176379415324447,1.4724075758520785,2.575652204731242,0.7641867352611179,0.5363436752796025,0.1893619153089325,-0.516261822840001,0.47916889442759697,-0.41323213637567624,0.17171012503820593,0.8539873607989514,-0.990387435324868,-0.8490012060875196,0.5470303810448552,Thấp,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.1635444462010287,0.9188163050934609,1,4,1.1176379415324447,1.4724075758520785,2.575652204731242,0.7641867352611179,0.7451912060693159,0.1893619153089325,-0.516261822840001,0.47916889442759697,-0.41323213637567624,0.17171012503820593,0.8539873607989514,-0.990387435324868,-0.8490012060875196,0.6966147056337466,Vừa,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.1635444462010287,0.834892241258611,1,4,1.1176379415324447,1.4724075758520785,2.575652204731242,0.8477020466458252,0.995808243016972,0.06914201512924838,-0.7365386064983366,0.47916889442759697,-0.46351509603805896,0.9620134827259739,0.8539873607989514,-1.3034828898993143,-1.5824713617495219,1.3091686959956945,Vừa,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.9728797825291962,1.7860316313869107,2,2,0.36996333939808723,0.19822548058762718,-0.5116403316258274,0.17957955556815278,-0.3161339731256823,-0.48386952569729863,0.6218348927280659,-1.4230511252746876,-0.3378076968821017,-0.06538088226812445,1.4940633244269028,-0.3641965261759753,-0.2622250815579178,0.3887924178433833,Thấp,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-0.6457908901271388,1.7860316313869107,2,4,0.36996333939808723,0.19822548058762718,-0.5116403316258274,0.17957955556815278,-0.3161339731256823,-0.48386952569729863,0.6218348927280659,-1.4230511252746876,-0.3378076968821017,-0.06538088226812445,1.4940633244269028,-0.3641965261759753,-0.2622250815579178,0.44998600517520254,Thấp,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
